"kickLength","hangTime","speedOfClosestCoverage","distanceToClosestCoverage","netCoverage","kickTeamWithin5","receivingTeamWithin5","yardsTillTouchdown","gameId","playId"
60,4.2,8.12,24.9162597514153,-1,0,1,66,2018123000,36
67,4.21,8.77,36.3334405197196,-1,0,1,80,2018123000,803
67,4.14,8.13,34.43310761462,0,0,0,90,2018123000,1557
53,3.85,7.86,22.5401086953901,0,0,0,66,2018123001,36
66,3.88,9.45,36.1617989043687,0,0,0,79,2018123001,2114
59,3.69,6.61,26.1173601269347,0,0,0,68,2018123001,2192
49,NA,9.51,24.7825946986993,0,0,0,74,2018123001,2597
49,3.88,8.51,17.0462195222284,-1,0,1,66,2018123001,2854
57,3.92,9.33,27.1011973905213,0,0,0,69,2018123002,2821
63,3.18,9.33,25.7824688499763,0,0,0,60,2018123002,3602
70,4.08,9.04,37.6882806718481,0,0,0,65,2018123003,3288
63,4.13,9.44,32.4510739421672,0,0,0,75,2018123004,741
71,3.88,9.99,43.1106866101666,0,0,0,57,2018123004,2672
63,3.93,10.04,33.416334329187,0,0,0,66,2018123006,1345
44,3.4,8.98,16.4888932315059,-1,0,1,68,2018123006,2312
65,3.96,8.25,32.0270089143523,0,0,0,73,2018123006,3161
65,3.86,9.68,31.5795503451205,0,0,0,62,2018123008,36
66,3.85,10.18,35.7536963124094,0,0,0,73,2018123008,1848
62,4.16,6.87,30.5597202212324,0,0,0,76,2018123008,2566
59,3.85,7.94,30.0736728717993,0,0,0,73,2018123008,2797
62,4.06,8.32,32.5319427639974,0,0,0,75,2018123008,3392
60,3.96,8.08,30.4377742287441,0,0,0,74,2018123008,3577
62,4.11,8.91,32.7097126248458,0,0,0,70,2018123008,4201
66,3.73,9.19,36.7982880036558,0,0,0,52,2018123008,4538
62,4.01,8.62,30.4033304096772,0,0,0,77,2018123009,36
59,3.92,9.26,28.1908708627456,0,0,0,73,2018123009,993
62,3.61,9.39,31.3430773856046,0,0,0,55,2018123009,1525
