"kickLength","hangTime","speedOfClosestCoverage","distanceToClosestCoverage","netCoverage","kickTeamWithin5","receivingTeamWithin5","yardsTillTouchdown","gameId","playId"
71,4.21,8.25,38.2804519304566,0,0,0,75,2018123000,392
74,3.92,8.56,41.9457673669227,0,0,0,75,2018123003,735
72,3.98,9.73,41.9703526313516,0,0,0,75,2018123003,1826
70,4.24,9.89,36.9514343429318,0,0,0,75,2018123004,243
69,3.93,9.27,40.2634188811631,0,0,0,75,2018123006,36
70,3.94,7.84,41.5804822001862,0,0,0,75,2018123007,36
68,4.11,8.45,37.6847767672836,0,0,0,75,2018123007,3779
70,3.83,8.8,39.4321797520756,0,0,0,75,2018123009,3402
72,3.99,9.58,39.3002760804552,0,0,0,75,2018123010,3943
67,3.83,8.73,35.8150317604215,0,0,0,75,2018123012,1675
66,3.93,9.27,35.261111723824,0,0,0,75,2018123012,2651
72,4.1,8.81,40.4303747200048,0,0,0,75,2018123013,3437
70,3.9,9.83,40.7733994167766,0,0,0,75,2018123015,36
71,3.69,7.69,41.7461339527387,0,0,0,75,2018122200,3319
69,3.97,9.35,36.5728861316686,0,0,0,75,2018122201,2414
70,3.74,8.97,41.6069056768224,0,0,0,75,2018122201,2775
67,3.74,8.97,40.5322254508681,0,0,0,75,2018122305,2691
70,4,10.17,40.7895378743128,0,0,0,75,2018122306,267
73,3.5,8.76,43.006028647156,0,0,0,75,2018122306,2900
69,4,8.82,40.7397619040661,0,0,0,75,2018122306,3086
73,3.86,9.93,43.0178846527813,0,0,0,75,2018122307,36
71,4.02,8.97,42.7390278317137,0,0,0,75,2018122307,3439
67,3.87,8.21,37.910807166295,0,0,0,75,2018122309,732
72,3.83,8.67,43.3268842636994,0,0,0,75,2018122309,2327
69,3.26,9.84,42.6416932121603,0,0,0,75,2018122309,2647
70,3.72,9.06,43.1115993672237,0,0,0,75,2018122309,4892
70,3.74,8.2,39.1057041874967,0,0,0,75,2018122313,36
71,3.81,9.45,37.710503841768,0,0,0,75,2018122313,1394
68,3.43,9.78,45.0479844166196,0,0,0,75,2018122313,2712
66,3.42,10.2,39.4708930732508,0,0,0,75,2018122313,4463
68,4.09,10.21,34.9368716401455,0,0,0,75,2018122314,716
